seed,latent_dim,epochs,learning_rate,batch_size,kl_weight,final_loss
2025,1024,80,0.0001,128,0.1,0.011946384
2025,1024,80,0.0001,128,0.1,0.0114429537206888
2025,1024,80,0.0001,128,0.1,0.0124988183379173
2025,1024,80,0.0001,128,0.1,0.0115916011855006
2025,1024,80,0.0001,128,0.1,0.0116929560899734
2025,1024,80,0.0001,128,0.1,0.0123673034831881
2025,1024,80,0.0001,128,0.1,0.0119310244917869
2025,1024,80,0.0001,128,0.1,0.0117194605991244
2025,1024,80,0.0001,128,0.1,0.0113448509946465
2025,1024,80,0.0001,128,0.1,0.0111840469762682
2025,1024,80,0.0001,128,0.1,0.0118968607857823
2025,1024,80,0.0001,128,0.1,0.0122193684801459
2025,1024,80,0.0001,128,0.1,0.0121833682060241
2025,1024,80,0.0001,128,0.1,0.0115677928552031
2025,1024,80,0.0001,128,0.1,0.0115146553143858
2025,1024,80,0.0001,128,0.1,0.0117120947688817
2025,1024,80,0.0001,128,0.1,0.01175117213279
2025,1024,80,0.0001,128,0.1,0.0118778105825185
2025,1024,80,0.0001,128,0.1,0.0117083881050348
2025,1024,80,0.0001,128,0.1,0.0118729779496788
2025,1024,80,0.0001,128,0.1,0.0116556677967309
2025,1024,80,0.0001,128,0.1,0.0111289964988827
2025,1024,80,0.0001,128,0.1,0.0120218871161341
2025,1024,80,0.0001,128,0.1,0.0121234841644763
2025,1024,80,0.0001,128,0.1,0.0119097894057631
2025,1024,80,0.0001,128,0.1,0.0112072983756661
2025,1024,80,0.0001,128,0.1,0.0114982891827821
2025,1024,80,0.0001,128,0.1,0.0121904630213975
2025,1024,80,0.0001,128,0.1,0.0115717444568872
2025,1024,80,0.0001,128,0.1,0.0119797112420201
2025,1024,80,0.0001,128,0.1,0.0114741036668419
2025,1024,80,0.0001,128,0.1,0.0112333744764328
2025,1024,80,0.0001,128,0.1,0.0123574985191226
2025,1024,80,0.0001,128,0.1,0.011450613848865
2025,1024,80,0.0001,128,0.1,0.011911048553884
2025,1024,80,0.0001,128,0.1,0.0123518286272883
2025,1024,80,0.0001,128,0.1,0.0116735864430665
2025,1024,80,0.0001,128,0.1,0.0117445383220911
2025,1024,80,0.0001,128,0.1,0.01264538615942
2025,1024,80,0.0001,128,0.1,0.0107735954225063
2025,1024,80,0.0001,128,0.1,0.0117650218307971
2025,1024,80,0.0001,128,0.1,0.011957861483097
2025,1024,80,0.0001,128,0.1,0.0115332817658782
2025,1024,80,0.0001,128,0.1,0.0109933335334062
2025,1024,80,0.0001,128,0.1,0.01238530036062
2025,1024,80,0.0001,128,0.1,0.0124999890103936
2025,1024,80,0.0001,128,0.1,0.0114612951874732
2025,1024,80,0.0001,128,0.1,0.0115749603137373
2025,1024,80,0.0001,128,0.1,0.0117839490994811
2025,1024,80,0.0001,128,0.1,0.0118889054283499
2025,1024,80,0.0001,128,0.1,0.0126242265105247
2025,1024,80,0.0001,128,0.1,0.0114527335390448
2025,1024,80,0.0001,128,0.1,0.0117248985916376
2025,1024,80,0.0001,128,0.1,0.0115444874390959
2025,1024,80,0.0001,128,0.1,0.0122765079140663
2025,1024,80,0.0001,128,0.1,0.0111569967120885
2025,1024,80,0.0001,128,0.1,0.0122740603983402
2025,1024,80,0.0001,128,0.1,0.0111987516283988
2025,1024,80,0.0001,128,0.1,0.0127125456929206
2025,1024,80,0.0001,128,0.1,0.0114937229081988
2025,1024,80,0.0001,128,0.1,0.0126024112105369
2025,1024,80,0.0001,128,0.1,0.012597466818988323
